location,Sfax,Sfax,Sfax
lat,34.70725,34.70725,34.70725
lon,10.66667,10.66667,10.66667
asl,49.214,49.214,49.214
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Minimum,Maximum,Mean
timestamp,Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected],Sfax Temperature [2 m elevation corrected]
20190703T0000,24.32789,31.66789,28.128725
20190704T0000,24.957891,33.417892,29.245392
20190705T0000,26.437891,34.17789,30.154974
20190706T0000,26.557892,33.83789,29.752892
20190707T0000,25.307892,37.15789,30.802887
20190708T0000,27.47789,39.19789,32.526226
20190709T0000,27.76789,39.327892,32.791637
20190710T0000,27.357891,42.147892,32.191223
20190711T0000,26.57789,32.22789,28.781637
20190712T0000,26.787891,31.40789,28.94039
20190713T0000,26.39789,36.077892,30.956642
20190714T0000,28.537891,35.24789,30.982473
20190715T0000,26.637892,35.20789,30.239975
20190716T0000,26.697891,35.847893,30.542473
20190717T0000,24.51789,30.217892,27.262474
20190718T0000,25.41789,29.72789,27.255394
20190719T0000,24.387892,30.59789,27.78581
20190720T0000,25.377892,30.99789,28.119978
20190721T0000,26.467892,30.387892,28.18164
20190722T0000,24.637892,30.08789,27.939552
20190723T0000,23.50789,34.02789,29.008726
20190724T0000,25.73789,34.72789,30.299973
20190725T0000,27.08789,33.04789,29.667055
20190726T0000,26.867891,33.147892,29.730392
20190727T0000,27.76789,42.43789,34.01706
20190728T0000,27.23789,34.507893,30.048729
20190729T0000,26.75789,31.637892,28.609144
20190730T0000,26.22789,31.357891,28.716225
20190731T0000,26.787891,33.30789,29.809141
20190801T0000,26.75789,34.06789,30.104141
20190802T0000,25.717892,35.36789,30.690805
20190803T0000,28.24789,36.327892,31.532476
20190804T0000,27.57789,34.757893,30.739561
20190805T0000,27.357891,33.45789,29.862886
20190806T0000,27.72789,33.80789,29.946228
20190807T0000,28.06789,36.76789,32.52456
20190808T0000,29.797892,42.647892,34.10164
20190809T0000,28.48789,34.37789,31.233313
20190810T0000,27.14789,34.15789,30.13581
20190811T0000,26.16789,34.13789,29.937475
20190812T0000,26.47789,35.29789,30.83664
20190813T0000,27.207891,34.71789,30.78914
20190814T0000,28.01789,34.26789,30.604555
20190815T0000,25.47789,32.737892,28.691637
20190816T0000,25.51789,32.63789,28.587059
20190817T0000,25.66789,32.37789,28.981226
20190818T0000,26.58789,31.867891,29.067472
20190819T0000,27.51789,31.97789,29.490389
20190820T0000,27.16789,30.937891,28.814974
20190821T0000,27.197891,30.867891,28.618721
20190822T0000,26.367891,30.617891,28.160393
20190823T0000,25.51789,30.887892,28.275808
20190824T0000,25.97789,31.547892,28.38539
20190825T0000,26.98789,32.29789,29.176224
20190826T0000,26.74789,32.76789,29.43664
20190827T0000,27.48789,32.33789,29.449556
20190828T0000,27.467892,33.10789,29.53914
20190829T0000,27.33789,31.107891,28.92331
20190830T0000,26.437891,31.58789,28.678726
20190831T0000,25.537891,29.58789,27.328308
20190901T0000,23.99789,29.15789,25.659561
20190902T0000,23.467892,29.107891,25.860388
20190903T0000,24.277891,31.207891,27.37956
